METER_NO,CATEGORY,STREET,SUBURB,MAX_STAY_HRS,RESTRICTIONS,OPERATIONAL_DAY,OPERATIONAL_TIME,TAR_ZONE,TAR_RATE_WEEKDAY,TAR_RATE_AH_WE,LOC_DESC,VEH_BAYS,MC_BAYS,MC_RATE,LONGITUDE,LATITUDE,MOBILE_ZONE
4737,TICKETLESS METER MULTISPACE,MUSK AVE,KELVIN GROVE,1,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Musk Ave between Kelvin Grove Rd & Blameyst in Kelvin Grove,13,0,,153.01378,-27.454604,4000411
4738,TICKETLESS METER MULTISPACE,BLAMEY ST,KELVIN GROVE,1,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Blameyst between Ramsgate St & Musk Ave in Kelvin Grove,10,0,,153.014662,-27.453443,4000407
4739,TICKETLESS METER MULTISPACE,RAMSGATE ST,KELVIN GROVE,1,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Ramsgate St between Carraway St & Blameyst in Kelvin Grove,5,0,,153.015081,-27.453805,4000407
4740,TICKETLESS METER MULTISPACE,BLAMEY ST,KELVIN GROVE,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Blameyst between Musk Ave & Kelvin Grove Rd in Kelvin Grove,6,0,,153.013723,-27.453294,4000405
4741,TICKETLESS METER MULTISPACE,MUSK AVE,KELVIN GROVE,4,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Musk Ave between Robinson Pl & Victoria Park Rd in Kelvin Grove,15,0,,153.014888,-27.452215,4000404
4742,TICKETLESS METER MULTISPACE,VICTORIA PARK RD,KELVIN GROVE,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Musk Ave between Robinson Pl & Victoria Park Rd in Kelvin Grove,22,0,,153.013791,-27.450937,4000402
4743,TICKETLESS METER MULTISPACE,GILCHRIST AVE,HERSTON,4,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Gilchrist Ave between Herston Rd & End in Kelvin Grove,11,0,,153.025709,-27.450696,4000418
4744,TICKETLESS METER MULTISPACE,GILCHRIST AVE,HERSTON,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Gilchrist Ave between Herston Rd & End in Kelvin Grove,24,0,,153.024767,-27.450988,4000417
4745,TICKETLESS METER MULTISPACE,GILCHRIST AVE,HERSTON,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Gilchrist Ave between Herston Rd & End in Kelvin Grove,22,0,,153.023392,-27.452224,4000417
4746,TICKETLESS METER MULTISPACE,GILCHRIST AVE,HERSTON,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Gilchrist Ave between Herston Rd & End in Kelvin Grove,20,0,,153.023121,-27.45262,4000417
4747,TICKETLESS METER MULTISPACE,GILCHRIST AVE,HERSTON,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Gilchrist Ave between End & Herston Rd in Kelvin Grove,12,0,,153.023603,-27.451724,4000417
4748,TICKETLESS METER MULTISPACE,GILCHRIST AVE,HERSTON,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Gilchrist Ave between Herston Rd & End in Kelvin Grove,25,0,,153.02419,-27.451162,4000417
4749,TICKETLESS METER MULTISPACE,GILCHRIST AVE,HERSTON,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Gilchrist Ave between End & Herston Rd in Kelvin Grove,21,0,,153.025868,-27.450516,4000417
4800,TICKETLESS METER MULTISPACE,PATRICK LANE,AUCHENFLOWER,4,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",$1.60,,Patrick Lane between Dixon St & Land St in Auchenflower,8,0,,152.996475,-27.479299,4000224
4801,TICKETLESS METER MULTISPACE,DIXON ST,AUCHENFLOWER,4,NONE,MON-FRI,8AM-5PM,"Zone 3, 15 min free",$0.70,,Dixon St between Auchenflower Tce & Park Lane in Auchenflower,5,0,,152.995605,-27.477854,4000201
4802,TICKETLESS METER MULTISPACE,DIXON ST,AUCHENFLOWER,2,NONE,MON-FRI,8AM-5PM,"Zone 3, 15 min free",$1.50,,Dixon St between Park Lane & Milton Rd in Auchenflower,5,0,,152.99516,-27.477385,4000198
4803,TICKETLESS METER MULTISPACE,DIXON ST,AUCHENFLOWER,2,NONE,MON-FRI,8AM-5PM,"Zone 3, 15 min free",$1.50,,Dixon St between Park Lane & Milton Rd in Auchenflower,22,0,,152.994406,-27.4766,4000203
4804,TICKETLESS METER MULTISPACE,DIXON ST,AUCHENFLOWER,9,NONE,MON-FRI,8AM-5PM,"Zone 3, 15 min free",$0.70,,Dixon St between Milton Rd & Auchenflower Tce in Auchenflower,23,0,,152.994876,-27.476907,4000202
4805,TICKETLESS METER MULTISPACE,DIXON ST,AUCHENFLOWER,9,NONE,MON-FRI,8AM-5PM,"Zone 3, 15 min free",$0.70,,Dixon St between Milton Rd & Auchenflower Tce in Auchenflower,13,0,,152.995534,-27.477581,4000202
4806,TICKETLESS METER MULTISPACE,MCILWRAITH ST,AUCHENFLOWER,9,NONE,MON-FRI,8AM-5PM,"Zone 3, 15 min free",$0.70,,Mcilwraith St between Auchenflower Tce & Harriett St in Auchenflower,9,0,,152.99601,-27.476826,4000204
4807,TICKETLESS METER MULTISPACE,MCILWRAITH ST,AUCHENFLOWER,2,NONE,MON-FRI,8AM-5PM,"Zone 3, 15 min free",$1.50,,Mcilwraith St between Auchenflower Tce & Harriett St in Auchenflower,9,0,,152.995423,-27.476242,4000205
4808,TICKETLESS METER MULTISPACE,MCILWRAITH ST,AUCHENFLOWER,9,NONE,MON-FRI,8AM-5PM,"Zone 3, 15 min free",$0.70,,Mcilwraith St between Harriett St & Auchenflower Tce in Auchenflower,13,0,,152.995764,-27.476456,4000204
4809,TICKETLESS METER MULTISPACE,RIDLEY ST,AUCHENFLOWER,12,NONE,MON-FRI,7AM-7PM,"Zone 3, 15 min free",$0.70,,Ridley St between Auchenflower Tce & Harriett St in Auchenflower,9,0,,152.996272,-27.475762,4000211
4810,TICKETLESS METER MULTISPACE,RIDLEY ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 3, 15 min free",$1.50,,Ridley St between Milton Rd & Eagle Tce in Auchenflower,10,0,,152.995998,-27.475256,4000210
4812,TICKETLESS METER MULTISPACE,GRIMES ST,AUCHENFLOWER,12,NONE,MON-FRI,7AM-7PM,"Zone 3, 15 min free",$0.70,,Grimes St between Eagle Tce & Milton Rd in Auchenflower,13,0,,152.996777,-27.4749,4000212
4813,TICKETLESS METER MULTISPACE,GRIMES ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 3, 15 min free",$1.50,,Grimes St between Milton Rd & Eagle Tce in Auchenflower,12,0,,152.996898,-27.474764,4000213
4815,TICKETLESS METER MULTISPACE,CHASELY ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Chasely St between Coronation Dr & Lang Pde in Auchenflower,11,0,,152.998984,-27.478041,4000214
4816,TICKETLESS METER MULTISPACE,CHASELY ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Chasely St between Coronation Dr & Lang Pde in Auchenflower,8,0,,152.998376,-27.477403,4000214
4817,TICKETLESS METER MULTISPACE,CHASELY ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Chasely St between Coronation Dr & Lang Pde in Auchenflower,8,0,,152.998106,-27.477128,4000214
4818,TICKETLESS METER MULTISPACE,CHASELY ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Chasely St between Coronation Dr & Lang Pde in Auchenflower,10,0,,152.997503,-27.476489,4000214
4819,TICKETLESS METER MULTISPACE,CHASELY ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Chasely St between Lang Pde & Dunmore Tce in Auchenflower,13,0,,152.997931,-27.476739,4000214
4820,TICKETLESS METER MULTISPACE,CHASELY ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Chasely St between Lang Pde & Dunmore Tce in Auchenflower,8,0,,152.998607,-27.477467,4000214
4821,TICKETLESS METER MULTISPACE,LANG PDE,AUCHENFLOWER,4,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Lang Pde between End & Cue St in Auchenflower,9,0,,152.997718,-27.47564,4000221
4822,TICKETLESS METER MULTISPACE,RIDLEY ST,AUCHENFLOWER,4,NONE,MON-FRI,7AM-7PM,"Zone 3, 15 min free",$0.70,,Ridley St between Burt St & Harriett St in Auchenflower,9,0,,152.995554,-27.474999,4000209
4823,TICKETLESS METER MULTISPACE,LANG PDE,AUCHENFLOWER,4,NONE,MON-FRI,7AM-7PM,"Zone 3, 15 min free",$0.70,,Lang Pde between Coronation Dr & Dunmore Tce in Auchenflower,5,0,,153.002383,-27.47489,4000216
4824,TICKETLESS METER MULTISPACE,DUNMORE TCE,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Dunmore Tce between Lang Pde & Chasely St in Auchenflower,11,0,,153.00194,-27.474932,4000215
4825,TICKETLESS METER MULTISPACE,DUNMORE TCE,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Dunmore Tce between Lang Pde & Chasely St in Auchenflower,8,0,,153.001345,-27.475511,4000215
4826,TICKETLESS METER MULTISPACE,DUNMORE TCE,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Dunmore Tce between Lang Pde & Chasely St in Auchenflower,6,0,,153.000735,-27.476083,4000215
4827,TICKETLESS METER MULTISPACE,DUNMORE TCE,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Dunmore Tce between Lang Pde & Chasely St in Auchenflower,10,0,,153.000227,-27.476584,4000215
4828,TICKETLESS METER MULTISPACE,DUNMORE TCE,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Dunmore Tce between Lang Pde & Chasely St in Auchenflower,12,0,,152.999414,-27.477429,4000215
